individual	heteroplasmy	generation	mutation_rate	bottleneck_size	back_mutation_rate	starting_heteroplasmy
2	0.0078125	1	1e-08	8	1	0.1

1	0.000244140625	1	1e-08	8	1	0.1

3	0.5	1	1e-08	8	1	0.1
4	6.103515625e-05	1	1e-08	8	1	0.1


5	0.25	1	1e-08	8	1	0.1

6	0.000244140625	1	1e-08	8	1	0.1

2	0.000244140625	1	1e-08	16	1	0.1
7	0.0001220703125	1	1e-08	8	1	0.1


1	0.000244140625	1	1e-08	16	1	0.1

8	0.001953125	1	1e-08	8	1	0.1

4	0.125	1	1e-08	16	1	0.1
5	0.00018310546875	1	1e-08	16	1	0.1
3	6.103515625e-05	1	1e-08	16	1	0.1

10	0.0001220703125	1	1e-08	8	1	0.1
6	0.1875	1	1e-08	16	1	0.1
9	0.000732421875	1	1e-08	8	1	0.1





11	0.001953125	1	1e-08	8	1	0.1
12	0.000244140625	1	1e-08	8	1	0.1


13	0.625	1	1e-08	8	1	0.1

2	0.0001220703125	1	1e-08	32	1	0.1
1	0.09375	1	1e-08	32	1	0.1
8	0.3125	1	1e-08	16	1	0.1
7	6.103515625e-05	1	1e-08	16	1	0.1
14	0.00048828125	1	1e-08	8	1	0.1
4	0.0625	1	1e-08	32	1	0.1
3	0.90625	1	1e-08	32	1	0.1


5	0.6875	1	1e-08	32	1	0.1
11	0.00390625	1	1e-08	16	1	0.1

9	0.0001220703125	1	1e-08	16	1	0.1
15	0.0001220703125	1	1e-08	8	1	0.1



10	0.375	1	1e-08	16	1	0.1
12	0.0001220703125	1	1e-08	16	1	0.1







6	0.0009765625	1	1e-08	32	1	0.1
16	0.000244140625	1	1e-08	8	1	0.1
21	0.5	1	1e-08	8	1	0.1
19	0.0001220703125	1	1e-08	8	1	0.1
17	0.0001220703125	1	1e-08	8	1	0.1

20	6.103515625e-05	1	1e-08	8	1	0.1
18	6.103515625e-05	1	1e-08	8	1	0.1






22	0.00048828125	1	1e-08	8	1	0.1

9	0.03125	1	1e-08	32	1	0.1

23	0.00048828125	1	1e-08	8	1	0.1
4	0.125	1	1e-08	64	1	0.1

24	0.125	1	1e-08	8	1	0.1
21	0.00048828125	1	1e-08	16	1	0.1
2	0.00048828125	1	1e-08	64	1	0.1

13	0.000244140625	1	1e-08	16	1	0.1
1	0.203125	1	1e-08	64	1	0.1
8	0.000244140625	1	1e-08	32	1	0.1
17	0.0001220703125	1	1e-08	16	1	0.1
14	0.1875	1	1e-08	16	1	0.1

16	0.000244140625	1	1e-08	16	1	0.1
10	0.000244140625	1	1e-08	32	1	0.1
20	0.0009765625	1	1e-08	16	1	0.1







6	0.203125	1	1e-08	64	1	0.1



11	0.25	1	1e-08	32	1	0.1
19	0.0625	1	1e-08	16	1	0.1
12	0.00048828125	1	1e-08	32	1	0.1
7	0.000244140625	1	1e-08	32	1	0.1
5	0.00048828125	1	1e-08	64	1	0.1
15	0.125	1	1e-08	16	1	0.1

3	0.265625	1	1e-08	64	1	0.1


18	0.0001220703125	1	1e-08	16	1	0.1






22	0.00048828125	1	1e-08	16	1	0.1

23	0.5	1	1e-08	16	1	0.1
9	0.1875	1	1e-08	64	1	0.1
4	0.078125	1	1e-08	128	1	0.1



20	6.103515625e-05	1	1e-08	32	1	0.1
15	6.103515625e-05	1	1e-08	32	1	0.1
1	0.1015625	1	1e-08	128	1	0.1
17	0.0009765625	1	1e-08	32	1	0.1



14	0.000244140625	1	1e-08	32	1	0.1

2	0.0546875	1	1e-08	128	1	0.1
16	0.15625	1	1e-08	32	1	0.1


