RNA_base_type	variant_count	observed	expected	obs:exp	lower_CI	upper_CI
WC_tRNA	2364	160.46000000000004	1020.6821066020912	0.15720859507783527	0.137	0.177
non-WC_tRNA	318	83.486	126.61588266215007	0.659364356545744	0.557	0.762
loop-or-other_tRNA	1842	329.7039999999998	744.0799711497333	0.4431029093425934	0.406	0.48000000000000004
WC_rRNA	3078	203.22299999999996	1351.1047140045273	0.15041247202644206	0.133	0.167
non-WC_rRNA	354	48.538	165.51328988060467	0.29325741778810366	0.229	0.359
loop-or-other_rRNA	4104	633.0280000000009	1737.0060397931802	0.3644362687854405	0.342	0.386
modified_tRNA	411	40.812000000000005	184.93962815786654	0.22067742001277532	0.167	0.276
modified_rRNA	30	0.133	9.692944269055067	0.013721321025707882	0.002	0.129
non-modified_tRNA	4101	530.8390000000005	1722.631670485936	0.30815583452628414	0.28700000000000003	0.329
non-modified_rRNA	7506	884.6560000000017	3245.8020614589354	0.27255389677162356	0.257	0.28700000000000003
