tRNA_position	variant_count	observed	expected	obs:exp	lower_CI	upper_CI
	30	11.991	13.266657550284672	0.9038448421955914	0.5740000000000001	1.2409999999999999
1	66	9.426	31.174384232732297	0.3023636306536231	0.158	0.459
2	66	5.595	27.68999345552406	0.20205855263153977	0.076	0.34500000000000003
3	66	3.996	26.4290234477863	0.1511974140056509	0.042	0.281
4	66	5.994	23.90041950726935	0.2507905770514578	0.1	0.421
5	66	8.198	26.773542699827548	0.30619780474747577	0.149	0.47900000000000004
6	66	7.465000000000001	24.296653692143643	0.307243956084941	0.14200000000000002	0.49
7	66	8.14	25.6640020585684	0.3171757850324171	0.154	0.497
8	63	3.222	22.605816991959394	0.14252968610451128	0.032	0.281
9	60	3.601	28.076997023161525	0.12825445673657448	0.032	0.245
10	63	2.679	25.703775026204745	0.10422593557828708	0.019000000000000003	0.217
11	63	0.149	28.164414029023355	0.0052903639268495305	0	0.046
12	63	1.369	20.028501318207997	0.06835259304975735	0.008	0.18
13	45	2.3289999999999997	13.678850124162498	0.170262849498294	0.029	0.369
14	66	8.613	23.390396078873387	0.368228052699775	0.184	0.5690000000000001
15	66	13.015	29.224465985369154	0.44534603323515953	0.268	0.633
16	63	17.995	22.32137335407758	0.8061779942725946	0.546	1.0759999999999998
17	63	16.992	21.253122320984442	0.7995060557865802	0.532	1.0779999999999998
17:a	54	6.987	17.655254832949915	0.395746199423879	0.177	0.637
18	36	3.998	11.6065950680981	0.3444593333826996	0.101	0.63
19	24	5.997	6.423470825612526	0.9336074161165262	0.41300000000000003	1.4989999999999999
20	15	4.654	4.186781603869962	1.1115936870693648	0.436	1.8379999999999999
20:a	9	0.0	0.853247969850988	0.0	0	1.309
22	45	1.883	16.461330826375498	0.11438929329959917	0.016	0.266
23	63	5.099	27.0251671651586	0.18867598371690134	0.066	0.329
24	63	2.098	30.675322707822417	0.0683937385103693	0.010000000000000002	0.154
25	63	5.792999999999999	22.354152327905613	0.2591464849583385	0.101	0.438
26	66	20.955999999999996	20.220262663629413	1.0363861413973603	0.733	1.349
27	66	6.8759999999999994	24.70535497103753	0.2783202268520667	0.122	0.452
28	66	5.277	24.747010544762606	0.21323787737734692	0.077	0.369
29	66	8.984	27.206720968202657	0.33021252397522954	0.169	0.506
30	66	6.187	24.687445927509387	0.2506132071404675	0.10200000000000001	0.41700000000000004
31	66	7.241	30.992957815355243	0.23363371908997008	0.10500000000000001	0.375
32	66	8.11	23.55656418296862	0.3442777111724775	0.166	0.539
33	66	7.692	19.931140193435006	0.3859287489500285	0.181	0.612
34	66	3.2910000000000004	21.10184370858679	0.15595793644613254	0.036000000000000004	0.306
35	66	0.0	26.859922034502663	0.0	0	0.043000000000000003
36	66	0.0	24.98615012062219	0.0	0	0.046
37	66	6.672000000000001	25.45916926729221	0.2620666813575737	0.112	0.429
38	66	7.454000000000001	28.75404599545685	0.2592330832738369	0.11900000000000001	0.41400000000000003
39	66	6.3919999999999995	27.10833099787197	0.2357946714056936	0.098	0.39
40	66	3.7880000000000003	25.67873082489024	0.14751507875647477	0.039	0.278
41	66	5.693	26.096663664892525	0.2181504913081557	0.083	0.371
42	66	11.461	24.703686742836414	0.46393884926198176	0.266	0.676
43	66	11.415	28.49078360368043	0.4006558808205406	0.229	0.584
44	66	19.652	24.124151360227827	0.8146193292585281	0.5650000000000001	1.073
45	66	15.310000000000002	22.42248777281031	0.6827966706961496	0.437	0.9410000000000001
46	66	5.099	28.056789174112698	0.1817385435074916	0.063	0.317
48	63	13.208	21.15424546908155	0.6243663958284138	0.38	0.883
49	66	5.567	23.67982014559052	0.235094690997332	0.08800000000000001	0.402
50	66	5.638	25.819108473437602	0.218365401958023	0.083	0.372
51	66	8.369	26.432564323820046	0.3166170295652385	0.156	0.493
54	66	15.712	33.94442359629072	0.4628742613769683	0.299	0.635
55	66	18.015	23.040657375086166	0.781878733177101	0.528	1.0459999999999998
56	66	19.041000000000004	23.278711301217655	0.8179576503878037	0.562	1.083
57	66	16.389000000000003	24.903844319981495	0.6580911681515114	0.431	0.896
58	66	12.248000000000001	24.939185615120607	0.4911146734708951	0.28900000000000003	0.706
59	57	19.201	20.56020819685863	0.933891321340496	0.652	1.224
60	48	15.536000000000001	20.09972992088891	0.7729457092781136	0.512	1.043
63	66	6.31	21.539663949722392	0.2929479315335987	0.121	0.486
64	66	9.584999999999999	22.414973548750574	0.42761594070827147	0.226	0.646
65	66	3.474	26.002978075926	0.1336000818774019	0.032	0.258
66	66	4.649000000000001	23.538438255003392	0.19750673131475904	0.064	0.353
67	66	11.645	24.97044265227021	0.46635136437764685	0.269	0.678
68	66	5.99	27.41936169529798	0.21845876890077998	0.08700000000000001	0.367
69	66	4.106	27.344580157150546	0.15015772692075108	0.043000000000000003	0.277
70	66	5.487	27.342156050894893	0.20067912675893068	0.074	0.34400000000000003
71	66	2.536	33.2190919698555	0.07634164119540898	0.013000000000000001	0.162
72	66	2.7220000000000004	22.144667780982246	0.12291898108029616	0.023	0.255
73	66	11.055	21.424645500747513	0.5159945353408198	0.291	0.758
52	60	6.983	20.555363642084846	0.3397166852209355	0.151	0.549
53	45	1.765	19.99006934517856	0.08829384078278364	0.012	0.211
61	45	2.475	16.224759775876095	0.15254463142683766	0.027000000000000003	0.324
62	60	5.125	21.018120067801366	0.24383722157202944	0.08600000000000001	0.424
21	15	4.991	4.375940754187649	1.140554747050393	0.47700000000000004	1.8459999999999999
47	12	1.0	2.725526731110902	0.3669015565268033	0.042	1.065
