locus	description	start	end	consequence	variant_count	observed	expected	obs:exp	lower_CI	upper_CI	pvalue
MT-TF	tRNA phenylalanine	577	647	SNV	213	25.529999999999998	86.31522865442417	0.2957763119902415	0.20700000000000002	0.389	1.6680242849257388e-18
MT-RNR1	12S ribosomal RNA	648	1601	SNV	2862	315.93499999999983	1242.8396748404807	0.2542041474822972	0.231	0.277	0.0
MT-TV	tRNA valine	1602	1670	SNV	207	30.14	91.55342812464366	0.32920667873808585	0.23900000000000002	0.423	1.5665054237499816e-17
MT-RNR2	16S ribosomal RNA	1671	3229	SNV	4674	568.8540000000005	2012.6553308874952	0.2826385577649603	0.263	0.301	0.0
MT-TL1	tRNA leucine 1	3230	3304	SNV	225	13.634	93.74013175909603	0.14544464301627175	0.084	0.211	1.773168745021923e-40
MT-ND1	NADH Dehydrogenase subunit 1	3307	4262	synonymous	732	386.2280000000002	384.8833786025962	1.0034935813603745	0.9450000000000001	1.061	0.9597555753280603
MT-ND1	NADH Dehydrogenase subunit 1	3307	4262	missense	1987	189.98799999999994	750.7917574283415	0.25305019417202795	0.224	0.28200000000000003	2.3042056917691006e-221
MT-ND1	NADH Dehydrogenase subunit 1	3307	4262	stop_gain	135	0.0	35.94516446073641	0.0	0	0.032	4.1066303830099945e-44
MT-TI	tRNA isoleucine	4263	4331	SNV	207	16.024	88.90710884585094	0.18023305681644375	0.111	0.254	1.4809282807892e-32
MT-TQ	tRNA glutamine	4329	4400	SNV	216	30.153	84.05514017279702	0.35872880513925415	0.261	0.461	1.69049265933009e-13
MT-TM	tRNA methionine	4402	4469	SNV	204	11.738	85.69428142486385	0.13697530109161132	0.075	0.20400000000000001	2.2264528337621154e-38
MT-ND2	NADH dehydrogenase subunit 2	4470	5511	synonymous	765	393.1490000000001	417.0941851874957	0.9425904602896068	0.887	0.997	0.4655149134000329
MT-ND2	NADH dehydrogenase subunit 2	4470	5511	missense	2199	199.41399999999987	776.0462151437771	0.256961500627968	0.228	0.28600000000000003	1.4366787613497127e-221
MT-ND2	NADH dehydrogenase subunit 2	4470	5511	stop_gain	152	0.997	46.01355839236682	0.02166752659071445	0.002	0.066	1.0732979932904523e-41
MT-TW	tRNA tryptophan	5512	5579	SNV	204	28.683999999999997	85.79321989292666	0.33433877450687555	0.241	0.432	9.658764481533662e-16
MT-TA	tRNA alanine	5587	5655	SNV	207	28.553000000000004	83.17415279944464	0.34329174435775744	0.247	0.444	1.977188630605492e-14
MT-TN	tRNA asparagine	5657	5729	SNV	219	15.479	91.50457610425138	0.16916093881867436	0.10300000000000001	0.24000000000000002	3.7705004066762406e-35
MT-TC	tRNA cysteine	5761	5826	SNV	198	37.535	78.17636099301582	0.48013235104859037	0.365	0.598	2.906243905412181e-07
MT-TY	tRNA tyrosine	5826	5891	SNV	198	13.651	79.76548074137429	0.17113919295817942	0.1	0.248	9.92480218410593e-30
MT-CO1	Cytochrome c oxidase subunit I	5904	7445	synonymous	1109	616.9410000000013	605.1978830440469	1.0194037640992537	0.973	1.0639999999999998	0.9907203146073085
MT-CO1	Cytochrome c oxidase subunit I	5904	7445	missense	3289	196.44299999999993	1249.8049015001293	0.15717893229912222	0.139	0.17500000000000002	0.0
MT-CO1	Cytochrome c oxidase subunit I	5904	7445	stop_gain	211	0.876	66.7984334423569	0.01311407999943496	0.001	0.042	2.735840766097069e-72
MT-TS1	tRNA serine 1	7446	7514	SNV	207	23.9	80.39056124520809	0.2972985836869577	0.20500000000000002	0.394	7.388269462205958e-17
MT-TD	tRNA aspartic acid	7518	7585	SNV	204	26.981	80.47721115138823	0.33526261178764244	0.23800000000000002	0.437	2.4217730794384902e-14
MT-CO2	Cytochrome c oxidase subunit II	7586	8269	synonymous	481	258.03099999999984	267.1625027291639	0.9658204177761385	0.897	1.033	0.7937581749441771
MT-CO2	Cytochrome c oxidase subunit II	7586	8269	missense	1466	139.714	556.9792675111562	0.2508423708916626	0.217	0.28400000000000003	9.78118931014579e-164
MT-CO2	Cytochrome c oxidase subunit II	7586	8269	stop_gain	88	0.0	25.507887242169307	0.0	0	0.045	1.6026194767849703e-28
MT-TK	tRNA lysine	8295	8364	SNV	210	29.83	89.82488262850313	0.3320906092732748	0.241	0.427	8.505544358847532e-17
MT-ATP8	ATP synthase F0 subunit 8	8366	8572	synonymous	110	55.915	64.638294669542	0.8650444799922532	0.731	0.998	0.4989340096307241
MT-ATP8	ATP synthase F0 subunit 8	8366	8572	missense	417	113.565	130.40524391875795	0.8708622183226821	0.756	0.987	0.4183148760214564
MT-ATP8	ATP synthase F0 subunit 8	8366	8572	stop_gain	41	0.282	13.623106393203086	0.02070012461626938	0.002	0.121	1.0774887690909425e-10
MT-ATP6	ATP synthase F0 subunit 6	8527	9207	synonymous	485	259.1909999999999	262.05242428996445	0.9890807181131118	0.919	1.0579999999999998	0.9189411202550971
MT-ATP6	ATP synthase F0 subunit 6	8527	9207	missense	1426	341.21399999999994	514.1255777733568	0.6636783205336229	0.611	0.716	6.828378666174905e-18
MT-ATP6	ATP synthase F0 subunit 6	8527	9207	stop_gain	75	0.0	22.125480570971128	0.0	0	0.052000000000000005	9.621642514112754e-24
MT-CO3	Cytochrome c oxidase subunit III	9207	9990	synonymous	557	291.7199999999998	301.7058723928828	0.9669019621206466	0.902	1.031	0.7889780430989587
MT-CO3	Cytochrome c oxidase subunit III	9207	9990	missense	1664	180.73199999999997	616.5041301940612	0.29315618687438433	0.259	0.327	2.8195207575297184e-150
MT-CO3	Cytochrome c oxidase subunit III	9207	9990	stop_gain	120	1.499	38.387255880766716	0.039049417980175256	0.004	0.1	1.0916139798127655e-28
MT-TG	tRNA glycine	9991	10058	SNV	204	31.061	87.8819447571571	0.35344006195846495	0.259	0.452	5.667872645910144e-15
MT-ND3	NADH dehydrogenase subunit 3	10059	10404	synonymous	244	126.10399999999997	149.41982298634983	0.8439576321243544	0.757	0.93	0.08957376729949683
MT-ND3	NADH dehydrogenase subunit 3	10059	10404	missense	732	48.469	255.23457030593488	0.18989982407909328	0.147	0.234	1.2364015289056395e-92
MT-ND3	NADH dehydrogenase subunit 3	10059	10404	stop_gain	51	0.0	14.108697889220176	0.0	0	0.081	2.6903512211124967e-13
MT-TR	tRNA arginine	10405	10469	SNV	195	16.146	77.6830532024196	0.20784455984149064	0.129	0.292	2.3871015360154624e-24
MT-ND4L	NADH dehydrogenase subunit 4L	10470	10766	synonymous	227	105.67399999999998	127.53023329909833	0.828619200845978	0.731	0.926	0.10581577514760947
MT-ND4L	NADH dehydrogenase subunit 4L	10470	10766	missense	611	26.989	225.20822778591753	0.11984020417609115	0.083	0.158	1.9309774435756833e-116
MT-ND4L	NADH dehydrogenase subunit 4L	10470	10766	stop_gain	28	0.0	3.4166488451582504	0.0	0	0.333	0.015181942956098348
MT-ND4	NADH dehydrogenase subunit 4	10760	12137	synonymous	1022	540.717000000001	558.8653250026067	0.9675264787585076	0.92	1.014	0.6902069647773443
MT-ND4	NADH dehydrogenase subunit 4	10760	12137	missense	2900	156.34299999999996	1050.7404487375265	0.1487931678920778	0.129	0.168	0.0
MT-ND4	NADH dehydrogenase subunit 4	10760	12137	stop_gain	193	0.0	52.6179172405288	0.0	0	0.022000000000000002	9.422182327005382e-72
MT-TH	tRNA histidine	12138	12206	SNV	207	39.48499999999999	88.96618245849872	0.4438203248567972	0.34	0.55	3.7775601835312026e-10
MT-TS2	tRNA serine2	12207	12265	SNV	177	24.473999999999997	70.45587117076052	0.34736636696583506	0.242	0.457	7.046376595074607e-12
MT-TL2	tRNA leucine2	12266	12336	SNV	213	28.733999999999998	85.40299856079193	0.3364518867513351	0.242	0.435	2.7557841440791134e-15
MT-ND5	NADH dehydrogenase subunit 5	12337	14148	synonymous	1307	697.2270000000016	691.0864172380196	1.008885405079329	0.965	1.0519999999999998	0.9772701889825555
MT-ND5	NADH dehydrogenase subunit 5	12337	14148	missense	3874	335.1829999999999	1415.4881020566643	0.2367967625534884	0.216	0.257	0.0
MT-ND5	NADH dehydrogenase subunit 5	12337	14148	stop_gain	238	0.0	75.69652542373207	0.0	0	0.015	3.18202039998569e-115
MT-ND6	NADH dehydrogenase subunit 6	14149	14673	synonymous	367	194.57999999999993	198.84037212527375	0.9785739079054343	0.898	1.0579999999999998	0.8891601013418227
MT-ND6	NADH dehydrogenase subunit 6	14149	14673	missense	1083	105.249	383.7287633690666	0.2742796736839154	0.232	0.317	1.6830174585170728e-97
MT-ND6	NADH dehydrogenase subunit 6	14149	14673	stop_gain	108	0.133	30.75264127292887	0.00432483177037148	0	0.041	5.390609635975751e-35
MT-TE	tRNA glutamic acid	14674	14742	SNV	207	19.147000000000002	89.51738541282913	0.21389141239659085	0.139	0.293	3.6610953050583125e-28
MT-CYB	Cytochrome b	14747	15887	synonymous	816	466.86700000000064	423.27053249851053	1.1029990612484784	1.047	1.158	0.9999989498775614
MT-CYB	Cytochrome b	14747	15887	missense	2433	350.20199999999977	899.5178565767644	0.38932189888118546	0.357	0.421	5.980833644038836e-146
MT-CYB	Cytochrome b	14747	15887	stop_gain	163	0.0	48.361600346628535	0.0	0	0.024	1.1151809114509089e-64
MT-TT	tRNA threonine	15888	15953	SNV	198	62.230999999999995	84.25503919462338	0.7386027066731361	0.611	0.867	0.048889596504933845
MT-TP	tRNA proline	15956	16023	SNV	204	20.54	79.89511954398682	0.2570870425782586	0.171	0.34800000000000003	4.7575212473359095e-20
