locus	description	start	end	consequence	variant_count	observed	expected	obs:exp	lower_CI	upper_CI	pvalue
MT-HV2	Hypervariable segment 2 [classic:73-340 ]	57	372	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-HV2	Hypervariable segment 2 [classic:73-340 ]	57	372	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-HV2	Hypervariable segment 2 [classic:73-340 ]	57	372	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-OHR	H-strand origins	110	441	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-OHR	H-strand origins	110	441	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-OHR	H-strand origins	110	441	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-CSB1	Conserved sequence block 1	213	235	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-CSB1	Conserved sequence block 1	213	235	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-CSB1	Conserved sequence block 1	213	235	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFX	mtTF1 binding site	233	260	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFX	mtTF1 binding site	233	260	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFX	mtTF1 binding site	233	260	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFY	mtTF1 binding site	276	303	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFY	mtTF1 binding site	276	303	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFY	mtTF1 binding site	276	303	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-CSB2	Conserved sequence block 2	299	315	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-CSB2	Conserved sequence block 2	299	315	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-CSB2	Conserved sequence block 2	299	315	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-CSB3	Conserved sequence block 3	346	363	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-CSB3	Conserved sequence block 3	346	363	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-CSB3	Conserved sequence block 3	346	363	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-4H	mt4 H-strand control element	371	379	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-4H	mt4 H-strand control element	371	379	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-4H	mt4 H-strand control element	371	379	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-3H	mt3 H-strand control element	384	391	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-3H	mt3 H-strand control element	384	391	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-3H	mt3 H-strand control element	384	391	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-LSP	L-strand promoter	392	435	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-LSP	L-strand promoter	392	435	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-LSP	L-strand promoter	392	435	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFL	mtTF1 binding site	418	445	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFL	mtTF1 binding site	418	445	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFL	mtTF1 binding site	418	445	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-HV3	Hypervariable segment 3	438	574	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-HV3	Hypervariable segment 3	438	574	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-HV3	Hypervariable segment 3	438	574	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFH	mtTF1 binding site	523	550	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFH	mtTF1 binding site	523	550	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TFH	mtTF1 binding site	523	550	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-HSP1	Major H-strand promoter	545	567	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-HSP1	Major H-strand promoter	545	567	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-HSP1	Major H-strand promoter	545	567	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TF	tRNA phenylalanine	577	647	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TF	tRNA phenylalanine	577	647	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TF	tRNA phenylalanine	577	647	stop_gain	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-TF	tRNA phenylalanine	577	647	SNV	213	1.0	2.5543442026115226	0.39148991705096564	0.02008080756505292	1.8571751268057461	0.9542497375704304
MT-RNR1	12S ribosomal RNA	648	1601	synonymous	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
MT-RNR1	12S ribosomal RNA	648	1601	missense	0	0	1.840752372296702	0.0	0.0	1.6274499050712736	0.8846558377773415
