locus	description	start	end	consequence	variant_count	observed	expected	obs:exp	lower_CI	upper_CI	pvalue
MT-HV2	Hypervariable segment 2 [classic:73-340 ]	57	372	SNV	936	275.15299999999996	333.41341566497834	0.8252607335887173	0.756	0.894	0.006743923197927503
MT-OHR	H-strand origins	110	441	SNV	984	264.8089999999999	371.2827136746448	0.7132273877745144	0.651	0.775	5.047487761636928e-09
MT-CSB1	Conserved sequence block 1	213	235	SNV	69	19.757	27.356385031896387	0.722207995572667	0.5	0.9520000000000001	0.3585008471134742
MT-TFX	mtTF1 binding site	233	260	SNV	84	30.329	32.18738640685184	0.9422635195240257	0.719	1.17	0.8818174647152257
MT-TFY	mtTF1 binding site	276	303	SNV	78	26.590999999999998	25.51186303313952	1.0422994183317265	0.775	1.3159999999999998	0.9666197423303914
MT-CSB2	Conserved sequence block 2	299	315	SNV	42	4.918	10.247613995466402	0.47991659347978455	0.169	0.835	0.22101449935188952
MT-CSB3	Conserved sequence block 3	346	363	SNV	54	2.978	18.166963564646135	0.16392392649453785	0.035	0.33	2.961230296421558e-06
MT-LSP	L-strand promoter	392	435	SNV	132	19.165	49.57878017852185	0.38655650524259	0.255	0.525	7.992871213735048e-07
MT-TFL	mtTF1 binding site	418	445	SNV	84	10.583	30.751809036295946	0.3441423555768387	0.188	0.514	4.87394842487509e-05
MT-HV3	Hypervariable segment 3	438	574	SNV	411	155.29999999999993	157.62589284617022	0.9852442209577829	0.882	1.0879999999999999	0.9162627624801429
MT-TFH	mtTF1 binding site	523	550	SNV	84	23.473	32.73526878356594	0.7170553617627276	0.513	0.928	0.2843157284449988
MT-HSP1	Major H-strand promoter	545	567	SNV	69	17.532999999999998	27.999971855299655	0.6261792008437845	0.418	0.844	0.12783583083964695
MT-Hum	Humanin peptide	2633	2705	SNV	219	17.376	93.4372816460475	0.1859643141783869	0.117	0.259	2.251145080597873e-33
MT-RNR3	5S-like sequence	3206	3229	SNV	72	10.953	26.917025949805158	0.4069171690968067	0.227	0.6	0.0016702121643099239
MT-TER	Transcription terminator	3229	3256	SNV	84	5.6579999999999995	35.309710874999624	0.1602392050172815	0.060000000000000005	0.274	3.51616208888305e-13
MT-OLR	L-strand origin	5721	5798	SNV	234	28.052	97.3407724460162	0.28818345380973054	0.20500000000000002	0.374	5.327341598570361e-22
MT-NC5	non-coding nucleotides	5892	5903	SNV	36	10.235	10.525943820455925	0.9723593603178358	0.56	1.407	0.9214655149718709
MT-NC7	non-coding nucleotides	8270	8294	SNV	75	28.247	26.885427570878992	1.0506435103377638	0.795	1.3099999999999998	0.9726110505640184
MT-ATT	membrane attachment site	15925	499	SNV	3417	993.4670000000006	1367.4901447787038	0.7264893306860137	0.6940000000000001	0.759	2.7282646340702048e-33
MT-CR	entire Control Region (including displacement loop)	16024	576	SNV	3351	1018.8560000000007	1337.6995056860542	0.7616478855447203	0.728	0.794	5.235187395413394e-24
MT-HV1	Hypervariable segment 1 [classic:16024-16365]	16024	16383	SNV	1077	417.275	481.7062094168557	0.866243764026096	0.811	0.921	0.009312274317009112
MT-TAS2	extended termination-associated sequence	16081	16138	SNV	174	47.59	73.63848242904325	0.6462653551539019	0.516	0.779	0.004667461873920537
MT-7SDNA	7S DNA	16106	191	SNV	1962	607.9270000000004	783.8300630221194	0.7755852048543396	0.732	0.8190000000000001	8.829056185165682e-12
MT-TAS	termination-associated sequence	16157	16172	SNV	48	26.446999999999996	16.92454958121176	1.562641290575867	1.2249999999999999	1.896	0.9999962485337434
MT-5	control element	16194	16208	SNV	45	14.933	19.699708740727502	0.758031511863283	0.498	1.027	0.554688451442642
