tRNA_position	m.pos
1	577
2	578
3	579
4	580
5	581
6	582
7	583
8	584
9	585
10	586
11	587
12	588
13	589
14	590
15	591
16	592
17	593
17:a	594
18	595
19	596
20	597
20:a	598
22	599
23	600
24	601
25	602
26	603
27	604
28	605
29	606
30	607
31	608
32	609
33	610
34	611
35	612
36	613
37	614
38	615
39	616
40	617
41	618
42	619
43	620
44	621
45	622
46	623
48	624
49	625
50	626
51	627
54	628
55	629
56	630
57	631
58	632
59	633
60	634
	635
	636
63	637
64	638
65	639
66	640
67	641
68	642
69	643
70	644
71	645
72	646
73	647
1	1602
2	1603
3	1604
4	1605
5	1606
6	1607
7	1608
8	1609
9	1610
10	1611
11	1612
12	1613
13	1614
14	1615
15	1616
16	1617
17	1618
17:a	1619
18	1620
22	1621
23	1622
24	1623
25	1624
26	1625
27	1626
28	1627
29	1628
30	1629
31	1630
32	1631
33	1632
34	1633
35	1634
36	1635
37	1636
38	1637
39	1638
40	1639
41	1640
42	1641
43	1642
44	1643
45	1644
46	1645
48	1646
49	1647
50	1648
51	1649
52	1650
53	1651
54	1652
55	1653
56	1654
57	1655
58	1656
59	1657
61	1658
62	1659
63	1660
64	1661
65	1662
66	1663
67	1664
68	1665
69	1666
70	1667
71	1668
72	1669
73	1670
1	3230
2	3231
3	3232
4	3233
5	3234
6	3235
7	3236
8	3237
9	3238
10	3239
11	3240
12	3241
13	3242
14	3243
15	3244
16	3245
17	3246
17:a	3247
18	3248
19	3249
20	3250
20:a	3251
21	3252
22	3253
23	3254
24	3255
25	3256
26	3257
27	3258
28	3259
29	3260
30	3261
31	3262
32	3263
33	3264
34	3265
35	3266
36	3267
37	3268
38	3269
39	3270
40	3271
41	3272
42	3273
43	3274
44	3275
45	3276
46	3277
47	3278
48	3279
49	3280
50	3281
51	3282
52	3283
53	3284
54	3285
55	3286
56	3287
57	3288
58	3289
59	3290
60	3291
61	3292
62	3293
63	3294
64	3295
65	3296
66	3297
67	3298
68	3299
69	3300
70	3301
71	3302
72	3303
73	3304
1	4263
2	4264
3	4265
4	4266
5	4267
6	4268
7	4269
8	4270
9	4271
10	4272
11	4273
12	4274
14	4275
15	4276
16	4277
17	4278
17:a	4279
18	4280
23	4281
24	4282
25	4283
26	4284
27	4285
28	4286
29	4287
30	4288
31	4289
32	4290
33	4291
34	4292
35	4293
36	4294
37	4295
38	4296
39	4297
40	4298
41	4299
42	4300
43	4301
44	4302
45	4303
46	4304
47	4305
48	4306
49	4307
50	4308
51	4309
52	4310
53	4311
54	4312
55	4313
56	4314
57	4315
58	4316
59	4317
60	4318
61	4319
62	4320
63	4321
64	4322
65	4323
66	4324
67	4325
68	4326
69	4327
70	4328
71	4329
73	4329
72	4330
72	4330
73	4331
71	4331
70	4332
69	4333
68	4334
67	4335
66	4336
65	4337
64	4338
63	4339
62	4340
61	4341
60	4342
59	4343
58	4344
57	4345
56	4346
55	4347
54	4348
53	4349
52	4350
51	4351
50	4352
49	4353
48	4354
46	4355
45	4356
44	4357
43	4358
42	4359
41	4360
40	4361
39	4362
38	4363
37	4364
36	4365
35	4366
34	4367
33	4368
32	4369
31	4370
30	4371
29	4372
28	4373
27	4374
26	4375
25	4376
24	4377
23	4378
22	4379
21	4380
20	4381
19	4382
18	4383
17	4384
16	4385
15	4386
14	4387
13	4388
12	4389
11	4390
10	4391
9	4392
8	4393
7	4394
